Event,Sport,Slug
"Shooting Men's Air Pistol, 10 metres",Shooting,shooting-men-s-air-pistol-10-metres
Rowing Men's Coxless Fours,Rowing,rowing-men-s-coxless-fours
Boxing Men's Light-Flyweight,Boxing,boxing-men-s-light-flyweight
Boxing Men's Super-Heavyweight,Boxing,boxing-men-s-super-heavyweight
"Wrestling Men's Flyweight, Greco-Roman",Wrestling,wrestling-men-s-flyweight-greco-roman
"Shooting Women's Air Rifle, 10 metres",Shooting,shooting-women-s-air-rifle-10-metres
Weightlifting Men's Middle-Heavyweight,Weightlifting,weightlifting-men-s-middle-heavyweight
Athletics Men's Javelin Throw,Athletics,athletics-men-s-javelin-throw
Volleyball Women's Volleyball,Volleyball,volleyball-women-s-volleyball
"Wrestling Men's Welterweight, Greco-Roman",Wrestling,wrestling-men-s-welterweight-greco-roman
"Wrestling Men's Middleweight, Greco-Roman",Wrestling,wrestling-men-s-middleweight-greco-roman
"Athletics Men's 3,000 metres Steeplechase",Athletics,athletics-men-s-3000-metres-steeplechase
"Wrestling Men's Middleweight, Freestyle",Wrestling,wrestling-men-s-middleweight-freestyle
Swimming Women's 100 metres Backstroke,Swimming,swimming-women-s-100-metres-backstroke
Swimming Women's 200 metres Backstroke,Swimming,swimming-women-s-200-metres-backstroke
Swimming Women's 4 x 100 metres Medley Relay,Swimming,swimming-women-s-4-x-100-metres-medley-relay
"Wrestling Men's Light-Heavyweight, Freestyle",Wrestling,wrestling-men-s-light-heavyweight-freestyle
Modern Pentathlon Men's Team,Modern Pentathlon,modern-pentathlon-men-s-team
Boxing Men's Bantamweight,Boxing,boxing-men-s-bantamweight
Athletics Women's 200 metres,Athletics,athletics-women-s-200-metres
Table Tennis Women's Singles,Table Tennis,table-tennis-women-s-singles
Table Tennis Women's Doubles,Table Tennis,table-tennis-women-s-doubles
Shooting Men's Skeet,Shooting,shooting-men-s-skeet
Swimming Women's 50 metres Freestyle,Swimming,swimming-women-s-50-metres-freestyle
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Shooting,shooting-men-s-small-bore-rifle-three-positions-50-metres
Athletics Men's Triple Jump,Athletics,athletics-men-s-triple-jump
Weightlifting Women's Lightweight,Weightlifting,weightlifting-women-s-lightweight
Athletics Women's Long Jump,Athletics,athletics-women-s-long-jump
"Fencing Women's epee, Individual",Fencing,fencing-women-s-epee-individual
Swimming Men's 200 metres Freestyle,Swimming,swimming-men-s-200-metres-freestyle
Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,swimming-men-s-4-x-100-metres-freestyle-relay
Swimming Men's 200 metres Backstroke,Swimming,swimming-men-s-200-metres-backstroke
Swimming Men's 200 metres Individual Medley,Swimming,swimming-men-s-200-metres-individual-medley
Swimming Men's 400 metres Individual Medley,Swimming,swimming-men-s-400-metres-individual-medley
Badminton Women's Singles,Badminton,badminton-women-s-singles
Boxing Men's Light-Middleweight,Boxing,boxing-men-s-light-middleweight
Tennis Men's Singles,Tennis,tennis-men-s-singles
"Wrestling Men's Bantamweight, Freestyle",Wrestling,wrestling-men-s-bantamweight-freestyle
"Wrestling Men's Flyweight, Freestyle",Wrestling,wrestling-men-s-flyweight-freestyle
"Athletics Women's 5,000 metres",Athletics,athletics-women-s-5000-metres
Weightlifting Women's Light-Heavyweight,Weightlifting,weightlifting-women-s-light-heavyweight
Weightlifting Women's Heavyweight,Weightlifting,weightlifting-women-s-heavyweight
Athletics Men's Discus Throw,Athletics,athletics-men-s-discus-throw
Taekwondo Men's Featherweight,Taekwondo,taekwondo-men-s-featherweight
Taekwondo Men's Welterweight,Taekwondo,taekwondo-men-s-welterweight
Judo Men's Heavyweight,Judo,judo-men-s-heavyweight
Cycling Men's Sprint,Cycling,cycling-men-s-sprint
Bobsleigh Men's Two,Bobsleigh,bobsleigh-men-s-two
"Wrestling Men's Lightweight, Freestyle",Wrestling,wrestling-men-s-lightweight-freestyle
Nordic Combined Men's Team,Nordic Combined,nordic-combined-men-s-team
Nordic Combined Men's Individual,Nordic Combined,nordic-combined-men-s-individual
Baseball Men's Baseball,Baseball,baseball-men-s-baseball
Rowing Men's Coxed Fours,Rowing,rowing-men-s-coxed-fours
Cycling Men's 100 kilometres Team Time Trial,Cycling,cycling-men-s-100-kilometres-team-time-trial
Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics,rhythmic-gymnastics-women-s-group
"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions,art-competitions-mixed-architecture-designs-for-town-planning
"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions,art-competitions-mixed-architecture-architectural-designs
Gymnastics Women's Individual All-Around,Gymnastics,gymnastics-women-s-individual-all-around
Gymnastics Women's Team All-Around,Gymnastics,gymnastics-women-s-team-all-around
Gymnastics Women's Floor Exercise,Gymnastics,gymnastics-women-s-floor-exercise
